event_id,datetime,session,rubric_version,ltf_state,ltf_dir,quality,compress,expansion,exhaust,htf1_state,htf1_dir,htf2_state,htf2_dir,sync,context,memory,rail_zone,htf_rail_align,zone_diversity,cascade,tag,outcome_dir,outcome_atr,mae_atr,notes,screenshot
163,2026-01-08T11:15,Tokyo,,TRAVERSAL,DOWN,58,4,34,41,NEUTRAL,DOWN,NEUTRAL,UP,TRANSITION,Mixed,10,LOWER_RAIL,YES,,,LED,DOWN,1.8,0,"Check this Screenshot please. this day Tokyo Session traded from one 60 minute rail to the other from 9:00 almost touching the opposite side around 11:15
[also check #159 because that was the begining of the move]",event_163_signal.jpg | event_163_outcome.jpg
164,2026-01-08T11:55,Tokyo,,FAILED,DOWN,41,29,33,28,NEUTRAL,DOWN,NEUTRAL,UP,TRANSITION,Mixed,11,MID_CHANNEL,,LOW,,WRONG,SIDEWAYS,0.8,0.8,,event_164_signal.jpg | event_164_outcome.jpg
165,2026-01-08T13:00,Tokyo,,TRAVERSAL,DOWN,59,20,20,17,NEUTRAL,DOWN,NEUTRAL,UP,TRANSITION,Mixed,10,MID_CHANNEL,NO,LOW,,CONFIRMED,SIDEWAYS,0.5,0.5,,event_165_signal.jpg | event_165_outcome.jpg
166,2026-01-08T13:40,Tokyo,,TRAVERSAL,DOWN,67,16,15,16,NEUTRAL,DOWN,NEUTRAL,UP,TRANSITION,Mixed,9,MID_CHANNEL,YES,,,LED,DOWN,1.6,0,"HTF Rail Align: after a pull back price continue trading towards 60M Lower rail after touching the upper side 9:00 in the morning.[look at 2' screenshot all the 3 time frames are alining]
Cascade: Could it be that this day from event #161  bar signal _price pulls back strong towards a 3+ orange zones, then trades down again into a  red memory zone  #164 and continues down? [check screenshot]",event_166_signal.jpg | event_166_outcome.jpg
167,2026-01-08T15:20,Tokyo,,FAILED,DOWN,44,12,13,20,NEUTRAL,DOWN,NEUTRAL,UP,TRANSITION,Mixed,9,MID_CHANNEL,YES,LOW,OTHER,LED,UP,2,0,"I set a rule to not to tag events in this time window, however i'll change the rules if i see something interesting i'll add to the data sample.
HTF Rail Align: the last 20'30 minutes of Tokyo session the price touched/cross over all the 3 time frames,from the begning of the day untill the end from one sessiom. bigger dot levels = 240 minutes.",event_167_signal.jpg | event_167_outcome.jpg
168,2026-01-08T15:50,Tokyo,,TRAVERSAL,UP,67,25,11,39,NEUTRAL,DOWN,NEUTRAL,DOWN,TRANSITION,Direction Conflict,9,UPPER_RAIL,,,,LED,UP,1,0,"time-filter: London pre-session
",event_168_signal.jpg | event_168_outcome.jpg
169,2026-01-08T16:55,London,,TRAVERSAL,UP,56,22,8,20,NEUTRAL,DOWN,NEUTRAL,UP,TRANSITION,Direction Conflict,9,MID_CHANNEL,,,,LED,DOWN,1,0,"bar-arrow-conflict: bearish bar /arrow up
[check sreenshot,i think theres a pattern forming here/let me know what you're seing]",event_169_signal.jpg | event_169_outcome.jpg
170,2026-01-08T18:00,London,,FAILED,FLAT,40,37,12,31,NEUTRAL,DOWN,NEUTRAL,UP,CONFLICT,Mixed,11,MID_CHANNEL,NO,MEDIUM,,CONFIRMED,SIDEWAYS,1,1.2,"bar-arrow-conflict: Dir= flat [we should define this correctly first ill add for the data but not tag
[look screenshots/let me know what you think]",event_170_signal.jpg | event_170_outcome.jpg
171,2026-01-08T19:40,London,,FAILED,DOWN,30,41,8,50,TRAVERSAL,DOWN,NEUTRAL,UP,TRANSITION,Mixed,11,UPPER_RAIL,,HIGH,,CONFIRMED,DOWN,1,0,"Bar_error_conflict
[look at screenshots, i'm still on the move/let me know]",event_171_signal.jpg | event_171_outcome.jpg
172,2026-01-08T21:00,London,,TRAVERSAL,DOWN,65,17,22,49,TRAVERSAL,DOWN,NEUTRAL,UP,TRANSITION,Macro Aligned,11,,,LOW,,LED,DOWN,2.6,0,[keep watching this screenshots sequence please},event_172_signal.jpg | event_172_outcome.jpg
173,2026-01-08T21:15,London,,EXHAUSTION,DOWN,42,10,26,28,TRAVERSAL,DOWN,NEUTRAL,UP,TRANSITION,Pullback in Trend,12,LOWER_RAIL,YES,LOW,,LED,UP,3.5,0,"[this tag finalized a sequence that i wanted to show you/let let know what do you think, about my trades and about if you think it's a good idea to show you some patterns once in a while, so we can learn more with each other]",event_173_signal.jpg | event_173_outcome.jpg
