event_id,datetime,session,rubric_version,ltf_state,ltf_dir,quality,compress,expansion,exhaust,htf1_state,htf1_dir,htf2_state,htf2_dir,sync,context,memory,tag,outcome_dir,outcome_atr,notes,screenshot
55,2025-10-17T16:15,London,v0.4,TRAVERSAL,DOWN,60,27,15,45,NEUTRAL,UP,TRAVERSAL,UP,TRANSITION,Direction Conflict,6,LED,DOWN,4," -MAE: 0 
",event_055_signal.jpg | event_055_outcome.jpg
56,2025-10-17T16:30,London,v0.4,EXHAUSTION,DOWN,56,38,22,65,NEUTRAL,UP,TRAVERSAL,UP,TRANSITION,Direction Conflict,7,CONFIRMED,UP,1,"-MFE: 1 right after -MAE: 1 within 6 candles
-Unstable: state flip after the bar signal
-Memory zones at signal: yes / sparse 
-Confirmation required for Tag"": For now CONFIRMED",event_056_signal.jpg | event_056_outcome.jpg
57,2025-10-17T16:35,London,v0.4,TRAVERSAL,DOWN,56,25,17,47,NEUTRAL,UP,TRAVERSAL,UP,TRANSITION,Direction Conflict,7,LED,DOWN,2.4,"-MAE: 0
",event_057_signal.jpg | event_057_outcome.jpg
58,2025-10-17T17:20,London,v0.4,FAILED,DOWN,35,28,13,31,FAILED,UP,TRAVERSAL,UP,TRANSITION,Direction Conflict,7,WRONG,DOWN,1,"-MAE: 1
-Unstable: state flip after the bar signal
-Pattern 5 (WRONG events look different) : Price is mid-channel, not at a rail
",event_058_signal.jpg | event_058_outcome.jpg
59,2025-10-17T20:45,London,v0.4,EXHAUSTION,DOWN,31,22,36,64,FAILED,UP,TRAVERSAL,UP,TRANSITION,Direction Conflict,8,WRONG,DOWN,2.4," -MAE: 2.4
-Memory zones at signal: yes / sparse",event_059_signal.jpg | event_059_outcome.jpg
60,2025-10-17T20:55,London,v0.4,TRAVERSAL,DOWN,60,4,40,55,NEUTRAL,UP,TRAVERSAL,UP,TRANSITION,Direction Conflict,8,WRONG,UP,2.5,"-MAE: 2.5
-Q-HIGH : FAILED state with Quality > 60
-Pattern 5 (WRONG events look different)
-Memory zones at signal: yes dense",event_060_signal.jpg | event_060_outcome.jpg
61,2025-10-17T21:00,London,v0.4,EXHAUSTION,DOWN,38,26,47,69,NEUTRAL,UP,TRAVERSAL,UP,TRANSITION,Direction Conflict,8,LED,UP,2.5,"- MAE: 0
- Time filter: pre-session: Pre-NY session
- Memory zones at signal: yes dense

",event_061_signal.jpg | event_061_outcome.jpg
62,2025-10-17T22:35,NY,v0.4,TRAVERSAL,DOWN,57,8,27,35,NEUTRAL,UP,TRAVERSAL,UP,TRANSITION,Direction Conflict,8,LED,DOWN,4,"-MAE: 0
-Memory zones at signal: yes dense around (Blue zone: Equilibrium)",event_062_signal.jpg | event_062_outcome.jpg
63,2025-10-17T23:10,NY,v0.4,EXPANSION,DOWN,65,6,56,44,NEUTRAL,FLAT,NEUTRAL,UP,CONFLICT,Mixed,9,WRONG,UP,2.7,"-MAE: 2.7 
-Memory zones at signal: no
""Pattern 17 anomaly: Expansion LED under CONFLICT sync — documentation contradiction. Log for Phase A review.""",event_063_signal.jpg | event_063_outcome.jpg
64,2025-10-17T12:55,NY,v0.4,TRAVERSAL,DOWN,57,14,15,13,NEUTRAL,FLAT,NEUTRAL,UP,TRANSITION,Mixed,10,LED,DOWN,1.8,"-MAE: 0
",event_064_signal.jpg | event_064_outcome.jpg
65,2025-10-17T14:50,NY,v0.4,TRAVERSAL,UP,57,21,8,11,TRAVERSAL,DOWN,NEUTRAL,UP,TRANSITION,Direction Conflict,10,LED,UP,1.7,"-MAE: 0
",event_065_signal.jpg | event_065_outcome.jpg
66,2025-10-20T09:10,Tokyo,v0.4,TRAVERSAL,DOWN,64,19,29,39,TRAVERSAL,DOWN,NEUTRAL,UP,TRANSITION,Macro Aligned,8,WRONG,SIDEWAYS,0.8,"-MFE: 0.8 then -MAE: 0.8
-Q-HIGH : FAILED state with Quality > 60
-Memory zones at signal: no
",event_066_signal.jpg | event_066_outcome.jpg
67,2025-10-20T10:10,Tokyo,v0.4,TRAVERSAL,DOWN,58,15,8,24,NEUTRAL,DOWN,NEUTRAL,UP,TRANSITION,Mixed,8,WRONG,UP,1,"-MAE: 1
Obs: This candle is an uptrend candle; however, the state is Clean Traversal, and the arrow is to the downside.",event_067_signal.jpg | event_067_outcome.jpg
68,2025-10-20T11:50,Tokyo,v0.4,TRAVERSAL,UP,63,24,9,6,NEUTRAL,DOWN,FAILED,UP,TRANSITION,Direction Conflict,8,WRONG,SIDEWAYS,0.3,"-MAE: 1
-Q-HIGH : FAILED state with Quality > 60
-Pattern 5 (WRONG events look different) : Price is mid-channel, not at a rail
-Similar to the previous event 67 but the opposite, the bar that signal fire is down trend bar with state: Clean Traversal and arrow ir: UP",event_068_signal.jpg | event_068_outcome.jpg
69,2025-10-20T12:25,Tokyo,v0.4,TRAVERSAL,UP,57,16,11,11,NEUTRAL,DOWN,FAILED,UP,TRANSITION,Direction Conflict,8,CONFIRMED,SIDEWAYS,0.8,"-downtrend bar with signal: State: Clean traversal, arrow: UP",event_069_signal.jpg | event_069_outcome.jpg
70,2025-10-20T00:50,Tokyo,v0.4,TRAVERSAL,UP,59,17,12,6,NEUTRAL,DOWN,FAILED,UP,TRANSITION,Direction Conflict,8,WRONG,SIDEWAYS,0.5,"-MAE: 0
-Q-HIGH : FAILED state with Quality > 59
-Pattern 5 (WRONG events look different): Price is mid-channel, not at a rail trades to the midlle channel level, The bars before the signal are mixed — up-down-up with no commitment,
",event_070_signal.jpg | event_070_outcome.jpg
71,2025-10-20T14:15,Tokyo,v0.4,TRAVERSAL,DOWN,57,39,14,31,NEUTRAL,DOWN,FAILED,DOWN,TRANSITION,Mixed,6,LED,DOWN,2.5,"-MAE: 0
-Pattern 2 : ""pre-signal coil: yes, approx 4 bars"" ",event_071_signal.jpg | event_071_outcome.jpg
72,2025-10-20T14:50,Tokyo,v0.4,EXHAUSTION,DOWN,57,27,8,69,NEUTRAL,DOWN,FAILED,UP,TRANSITION,Mixed,7,WRONG,DOWN,2.4,"-MAE: 2.4
-Time-filter: pre-session: end of Tokyo session
-Unstable: state flip after the bar signal

",event_072_signal.jpg | event_072_outcome.jpg
73,2025-10-20T16:15,NY,v0.4,FAILED,UP,63,19,17,49,NEUTRAL,DOWN,FAILED,UP,CONFLICT,Mixed,6,WRONG,SIDEWAYS,0.8,"-MFE: 0.8 then -MAE: 0.8
-Unstable: state flip after the bar signal
-Q-HIGH : FAILED state with Quality > 60
",event_073_signal.jpg | event_073_outcome.jpg
74,2025-10-20T16:40,London,v0.4,TRAVERSAL,UP,69,15,21,30,NEUTRAL,DOWN,FAILED,UP,TRANSITION,Direction Conflict,6,WRONG,SIDEWAYS,0.6,"-MFE: 0.6 then -MAE: 0.6
-Unstable: state flip after the bar signal
-Q-HIGH : FAILED state with Quality > 60
-Pattern 5 (WRONG events look different): The bars before the signal are mixed — up-down-up with no commitment
",event_074_signal.jpg | event_074_outcome.jpg
75,2025-10-20T18:05,London,v0.4,FAILED,UP,43,30,14,28,NEUTRAL,DOWN,FAILED,UP,TRANSITION,Direction Conflict,7,CONFIRMED,SIDEWAYS,0.6,"-MFE: 0.6
-Pattern 5 (WRONG events look different):  Price is mid-channel, not at a rail
",event_075_signal.jpg | event_075_outcome.jpg
76,2025-10-20T18:15,London,v0.4,FAILED,UP,45,37,13,37,NEUTRAL,DOWN,FAILED,UP,TRANSITION,Direction Conflict,6,WRONG,UP,0.5,"-MFE: 0.5 then -MAE: 2.2 on the 6' bar count
",event_076_signal.jpg | event_076_outcome.jpg
77,2025-10-20T18:50,London,v0.4,TRAVERSAL,UP,68,26,16,24,NEUTRAL,DOWN,FAILED,UP,TRANSITION,Direction Conflict,5,WRONG,DOWN,3.9,"-MAE: 3.9
-Q-HIGH : FAILED state with Quality > 60
-Pattern 5 (WRONG events look different): Price is mid-channel, not at a rail, ",event_077_signal.jpg | event_077_outcome.jpg
78,2025-10-20T19:55,London,v0.4,TRAVERSAL,DOWN,57,29,18,24,NEUTRAL,DOWN,FAILED,UP,TRANSITION,Mixed,5,WRONG,UP,1.9,"-MFE: 0.8 then -MAE: 1.9
-Pattern 5 (WRONG events look different): Bar signal is mid-channel, not at a rail ",event_078_signal.jpg | event_078_outcome.jpg
79,2025-10-20T20:40,London,v0.4,EXHAUSTION,UP,31,44,8,61,NEUTRAL,DOWN,FAILED,UP,TRANSITION,Direction Conflict,7,WRONG,UP,4.6,"-MAE: 4.6
-Memory zones at signal: yes / sparse",event_079_signal.jpg | event_079_outcome.jpg
80,2025-10-20T21:00,London,v0.4,TRAVERSAL,UP,60,29,15,51,NEUTRAL,DOWN,FAILED,UP,TRANSITION,Direction Conflict,7,LED,UP,6,"-MAE: 0 
-Time-filter: pre-session: Yes, Pre-NY Session
-Pattern 2 : ""pre-signal coil: yes, (State changes to Coil however on the bar close state: neutral) before the Bar signal State: Exhaustion from previous event approx 4 bars, then after Exhaustion, Bar signal appears: Clean Traversal.
",event_080_signal.jpg | event_080_outcome.jpg
81,2025-10-20T21:35,London,v0.4,EXPANSION,UP,76,6,60,31,TRAVERSAL,DOWN,FAILED,UP,TRANSITION,Direction Conflict,7,LED,UP,1.2,"-MAE: 0
-Time-filter: pre-session: Yes, Pre-NY Session
-Q-HIGH : Sideways move, state with Quality > 60
",event_081_signal.jpg | event_081_outcome.jpg
82,2025-10-20T22:05,NY,v0.4,TRAVERSAL,UP,66,8,44,33,TRAVERSAL,DOWN,FAILED,UP,TRANSITION,Direction Conflict,7,WRONG,DOWN,2.5,"-MAE: 2.5 
-Q-HIGH : FAILED state with Quality > 60
",event_082_signal.jpg | event_082_outcome.jpg
83,2025-10-20T22:35,NY,v0.4,FAILED,UP,28,19,44,29,TRAVERSAL,DOWN,FAILED,UP,TRANSITION,Direction Conflict,7,LED,DOWN,2.2,"-MAE: 0.7, then -MFE: 2.2
",event_083_signal.jpg | event_083_outcome.jpg
84,2025-10-20T22:55,NY,v0.4,TRAVERSAL,UP,57,14,41,15,TRAVERSAL,DOWN,FAILED,UP,TRANSITION,Direction Conflict,7,LED,UP,3.6,"-MAE: 0.9 then -MFE: 3.6 
",event_084_signal.jpg | event_084_outcome.jpg
85,2025-10-20T23:45,NY,v0.4,TRAVERSAL,UP,65,7,29,22,NEUTRAL,DOWN,NEUTRAL,UP,TRANSITION,Direction Conflict,7,LED,UP,2.6,-MAE: 0,event_085_signal.jpg | event_085_outcome.jpg
86,2025-10-20T15:20,London,v0.4,TRAVERSAL,DOWN,70,41,33,12,NEUTRAL,UP,NEUTRAL,UP,TRANSITION,Direction Conflict,7,WRONG,UP,3.3,"-MAE: 3.3
-Time-filter: end-session: Yes, end-NY Session
-Q-HIGH : FAILED state with Quality > 60
-Pattern 2 : ""pre-signal coil: yes approx 2 bars"" however this time the signal gave me an short entry and moved 3.3 atr to the upside.
-Memory zones at signal: yes, dense (Red zone right few points above the Bar signal, then price crossed to it violently.
",event_086_signal.jpg | event_086_outcome.jpg
87,2025-10-21T07:20,Tokyo,v0.4,FAILED,UP,57,33,16,34,TRAVERSAL,UP,NEUTRAL,UP,TRANSITION,Mixed,7,LED,DOWN,2,"-MAE:0 
-Time-filter: pre-session: Yes, Pre-Tokyo Session
",event_087_signal.jpg | event_087_outcome.jpg
88,2025-10-20T09:00,Tokyo,v0.4,TRAVERSAL,DOWN,66,43,8,40,NEUTRAL,UP,NEUTRAL,UP,TRANSITION,Direction Conflict,9,WRONG,UP,1.9,"-MFE: 0.7 then -MAE:1.9 
-Q-HIGH : FAILED state with Quality > 60
-Pattern 5 (WRONG events look different): The bars before the signal are mixed — up-down-up with no commitment
-Memory zones at signal:  yes (RED zone) Price touched memory zone and went up/ dense
",event_088_signal.jpg | event_088_outcome.jpg
89,2025-10-21T09:35,Tokyo,v0.4,FAILED,UP,50,31,8,22,NEUTRAL,UP,NEUTRAL,UP,MIXED,Mixed,9,LED,DOWN,1.9,"-MAE: 0.9 then, MFE: 1.9 atr
-Memory zones at signal:  yes (Blue Zone)",event_089_signal.jpg | event_089_outcome.jpg
90,2025-10-21T10:25,Tokyo,v0.4,EXHAUSTION,DOWN,53,25,15,60,TRAVERSAL,UP,NEUTRAL,UP,TRANSITION,Pullback in Trend,10,WRONG,DOWN,2.6,"-MAE: 2.6
""exhaust-type-A: prior move Q below 45 threshold""
-Memory zones at signal: yes above the bar signal (RED zone) ",event_090_signal.jpg | event_090_outcome.jpg
91,2025-10-21T10:45,Tokyo,v0.4,TRAVERSAL,DOWN,62,8,38,54,NEUTRAL,UP,NEUTRAL,UP,TRANSITION,Direction Conflict,9,WRONG,SIDEWAYS,0.6,"-MAE: 0.6
-Q-HIGH : Traversal state with Quality > 60
-""Pattern 5: mid-channel · Pattern 11 candidate""
-Memory zones at signal: yes above the bar signal (Bege zone) ",event_091_signal.jpg | event_091_outcome.jpg
